Seed,gnss_rmse,odom_rmse,ekf_rmse,aekf_rmse,ukf_rmse
1,8.635397584776934,0.6755947417195802,0.12456319180596355,0.13583491034444106,0.10196478547717101
2,8.581186805785787,0.7380749987817178,0.11251615619604916,0.1231743575508368,0.10435628312585
3,8.753556578181607,0.7060262770612078,0.11190557510329559,0.1248535583185537,0.10006801669265045
4,8.449255271081256,1.0124886182121895,0.0985873409430239,0.12431412583047322,0.10418188746188684
5,8.283746242127805,0.7430552723819157,0.11679056007819061,0.11182892283022249,0.10324835764560022
6,8.729980181808271,1.0260160910235263,0.11520944799834322,0.11744377232508202,0.10705430534231682
7,8.729645360792137,0.7694017916999605,0.12425078691964173,0.12416223184835273,0.10618171131439355
8,8.587454406771245,0.7541111812690796,0.10188373859132147,0.11752425235796378,0.09926890835339758
9,8.654830770794693,0.6716541070894152,0.12165071118883473,0.11666753998723996,0.10337126500684449
10,9.150967030778789,1.1418451161006025,0.10317081246296414,0.11211329063142438,0.10353611569847612
11,8.620686880388405,1.1105724173215603,0.11719440139523614,0.1129454564760479,0.10688972337068739
12,8.723859749901974,0.6577946586696237,0.10377246853552258,0.11906369475668083,0.1039294030596906
13,8.640463221107089,0.8608609763818557,0.11163456164553902,0.11432202281410885,0.10595273940319908
14,8.700244311355164,0.7286405979752074,0.1116640593680714,0.11178129306778604,0.10323294702305333
15,8.487854986241963,0.6445550032025387,0.11913046049321482,0.11108684861603516,0.10071713558471612
16,8.479032400400964,0.4888542152237496,0.09914159969779182,0.10649100401376636,0.10145442095855912
17,8.782579368778842,0.7782669661357401,0.10714463630712481,0.10954916990902093,0.09873280993279801
18,8.809596412747144,0.7445428904262676,0.11458532967146577,0.1179106042892689,0.1046197744329937
19,8.843757219304612,1.0346332100682942,0.10658802053783918,0.11872471416503702,0.10342180817980294
20,8.873694986323835,0.8783701315518474,0.11457415949232544,0.12234465367179957,0.10323560657660497
21,8.694577555428195,1.0596688956602756,0.11923477698836153,0.13266130014233185,0.10322046357470949
22,8.623802675943507,0.675375733312927,0.11793978856241948,0.11536850781755022,0.10595104685644982
23,8.626180928503953,0.5563739126485877,0.1350362064715999,0.1181371601906135,0.10369262665705428
24,8.677219770485312,0.6791080465186297,0.11724028743505882,0.12490371948188657,0.10599709891685805
25,8.380691919041203,0.6886008793706992,0.11352000279115056,0.12058757146512764,0.10363963119264864
26,9.04671055540532,0.834075253088978,0.11958329368430186,0.11153101356807087,0.1026426135540792
27,8.580809971893816,0.6905006035996664,0.11485258311296721,0.11831085806645557,0.1056277819198096
28,8.443501233007828,1.107893913304024,0.09644956705877065,0.11206529186185225,0.0979684186709864
29,8.216362449755612,1.0571510575057075,0.11204458253034351,0.12310109454002695,0.10582061271372163
30,8.549189484357814,1.197922071188744,0.10819854495944704,0.12070865901438571,0.10117398925795379
