Scenario,Filter,Position_RMSE_m,Position_MAE_m,Max_Position_Error_m,Stop_Zone_RMSE_m,Corridor_Departure_Rate_pct
Scenario 1: Normal Sürüş,EKF,0.21749300734886381,0.13914438869300333,1.8882206434732438,0.11904462190187333,2.071428571428571
Scenario 1: Normal Sürüş,AEKF,0.1556120554153777,0.12227188498790381,0.6604257171497478,0.11622287867749106,0.2142857142857143
Scenario 1: Normal Sürüş,UKF,0.18500807280789436,0.13821107759230677,0.794695035252243,0.12919739909741446,0.9285714285714286
Scenario 2: Urban Canyon (GNSS Gürültülü),EKF,0.22205937656305522,0.14319751242883053,1.8882206434732438,0.11904462218977947,2.357142857142857
Scenario 2: Urban Canyon (GNSS Gürültülü),AEKF,0.15561287885003167,0.12226713181477361,0.6607831864496366,0.11622287866195316,0.2142857142857143
Scenario 2: Urban Canyon (GNSS Gürültülü),UKF,0.19011821641904386,0.14183092494408633,0.7946950670798472,0.12919739736211872,1.2857142857142856
Scenario 3: Tünel Geçişi (GNSS Kaybı),EKF,0.22199986498044502,0.14254121419456317,1.8882206434732438,0.15938294595840555,2.142857142857143
Scenario 3: Tünel Geçişi (GNSS Kaybı),AEKF,0.1513891194029293,0.1180421137249069,0.6250187806299248,0.13843527565670363,0.2857142857142857
Scenario 3: Tünel Geçişi (GNSS Kaybı),UKF,0.19601459031978724,0.1428044439322698,1.056009333186681,0.19731786138205057,1.7857142857142856
Scenario 4: Tekerlek Kayması (Slip),EKF,0.21749300734886381,0.13914438869300333,1.8882206434732438,0.11904462190187333,2.071428571428571
Scenario 4: Tekerlek Kayması (Slip),AEKF,0.1556120554153777,0.12227188498790381,0.6604257171497478,0.11622287867749106,0.2142857142857143
Scenario 4: Tekerlek Kayması (Slip),UKF,0.18500807280789436,0.13821107759230677,0.794695035252243,0.12919739909741446,0.9285714285714286
